W,X,Y,UGF
3.84E-05,2.40E-06,1.12E-05,124811432.3
3.84E-05,2.40E-06,1.05E-05,123553970.4
3.84E-05,2.40E-06,4.80E-06,102908988.3
3.84E-05,2.40E-06,5.51E-06,106833230.8
3.84E-05,2.40E-06,6.22E-06,109966520.9
3.84E-05,2.40E-06,6.93E-06,112536068.9
3.84E-05,2.40E-06,7.64E-06,114688035.6
3.84E-05,2.40E-06,8.36E-06,116520980.9
3.84E-05,2.40E-06,9.07E-06,118103944.4
3.84E-05,2.40E-06,9.78E-06,119486830.9
3.84E-05,2.76E-06,1.12E-05,128548986.4
3.84E-05,2.76E-06,1.05E-05,127312718.2
3.84E-05,2.76E-06,4.80E-06,106941938
3.84E-05,2.76E-06,5.51E-06,110823125
3.84E-05,2.76E-06,6.22E-06,113920100.3
3.84E-05,2.76E-06,6.93E-06,116458305.6
3.84E-05,2.76E-06,7.64E-06,118582729.7
3.84E-05,2.76E-06,8.36E-06,120391121.4
3.84E-05,2.76E-06,9.07E-06,121951939.1
3.84E-05,2.76E-06,9.78E-06,123314658.7
3.84E-05,3.11E-06,1.12E-05,131687081.8
3.84E-05,3.11E-06,1.05E-05,130468095.7
3.84E-05,3.11E-06,4.80E-06,110313656.7
3.84E-05,3.11E-06,5.51E-06,114160617.3
3.84E-05,3.11E-06,6.22E-06,117228640.5
3.84E-05,3.11E-06,6.93E-06,119741790.2
3.84E-05,3.11E-06,7.64E-06,121844140.3
3.84E-05,3.11E-06,8.36E-06,123632805.9
3.84E-05,3.11E-06,9.07E-06,125175790.8
3.84E-05,3.11E-06,9.78E-06,126522234.7
3.84E-05,3.47E-06,1.12E-05,134379145.6
3.84E-05,3.47E-06,1.05E-05,133174607.4
3.84E-05,3.47E-06,4.80E-06,113195666.8
3.84E-05,3.47E-06,5.51E-06,117014687
3.84E-05,3.47E-06,6.22E-06,120059008.1
3.84E-05,3.47E-06,6.93E-06,122551592
3.84E-05,3.47E-06,7.64E-06,124635779.2
3.84E-05,3.47E-06,8.36E-06,126408176.2
3.84E-05,3.47E-06,9.07E-06,127936421.4
3.84E-05,3.47E-06,9.78E-06,129269384.6
3.84E-05,3.82E-06,1.12E-05,136728076.3
3.84E-05,3.82E-06,1.05E-05,135535858.1
3.84E-05,3.82E-06,4.80E-06,115702484.6
3.84E-05,3.82E-06,5.51E-06,119498206.3
3.84E-05,3.82E-06,6.22E-06,122522708.1
3.84E-05,3.82E-06,6.93E-06,124998051.4
3.84E-05,3.82E-06,7.64E-06,127066976.6
3.84E-05,3.82E-06,8.36E-06,128825673.2
3.84E-05,3.82E-06,9.07E-06,130341479.6
3.84E-05,3.82E-06,9.78E-06,131663043.7
3.84E-05,4.18E-06,1.12E-05,138805859.7
3.84E-05,4.18E-06,1.05E-05,137624317.6
3.84E-05,4.18E-06,4.80E-06,117913902.6
3.84E-05,4.18E-06,5.51E-06,121689856.2
3.84E-05,4.18E-06,6.22E-06,124697496.3
3.84E-05,4.18E-06,6.93E-06,127158135.7
3.84E-05,4.18E-06,7.64E-06,129214014.8
3.84E-05,4.18E-06,8.36E-06,130960975.4
3.84E-05,4.18E-06,9.07E-06,132466105.6
3.84E-05,4.18E-06,9.78E-06,133777867.3
3.84E-05,4.53E-06,1.12E-05,140664614.5
3.84E-05,4.53E-06,1.05E-05,139492447.8
3.84E-05,4.53E-06,4.80E-06,119887483.2
3.84E-05,4.53E-06,5.51E-06,123646419.7
3.84E-05,4.53E-06,6.22E-06,126639506.2
3.84E-05,4.53E-06,6.93E-06,129087424.2
3.84E-05,4.53E-06,7.64E-06,131131991.7
3.84E-05,4.53E-06,8.36E-06,132868756
3.84E-05,4.53E-06,9.07E-06,134364592.9
3.84E-05,4.53E-06,9.78E-06,135667807.1
3.84E-05,4.89E-06,1.12E-05,142343163.3
3.84E-05,4.89E-06,1.05E-05,141179322.4
3.84E-05,4.89E-06,4.80E-06,121665963.8
3.84E-05,4.89E-06,5.51E-06,125410071.1
3.84E-05,4.89E-06,6.22E-06,128390442.4
3.84E-05,4.89E-06,6.93E-06,130827220.4
3.84E-05,4.89E-06,7.64E-06,132861861.7
3.84E-05,4.89E-06,8.36E-06,134589661
3.84E-05,4.89E-06,9.07E-06,136077312.3
3.84E-05,4.89E-06,9.78E-06,137372984.9
3.84E-05,5.60E-06,1.12E-05,145271536.2
3.84E-05,5.60E-06,1.05E-05,144121892.7
3.84E-05,5.60E-06,4.80E-06,124760392.4
3.84E-05,5.60E-06,5.51E-06,128479836.8
3.84E-05,5.60E-06,6.22E-06,131438983.5
3.84E-05,5.60E-06,6.93E-06,133857105.7
3.84E-05,5.60E-06,7.64E-06,135875074.8
3.84E-05,5.60E-06,8.36E-06,137587776.2
3.84E-05,5.60E-06,9.07E-06,139061607.6
3.84E-05,5.60E-06,9.78E-06,140344518
3.84E-05,5.24E-06,1.12E-05,143871113.5
3.84E-05,5.24E-06,1.05E-05,142714725.9
3.84E-05,5.24E-06,4.80E-06,123281852.4
3.84E-05,5.24E-06,5.51E-06,127012901
3.84E-05,5.24E-06,6.22E-06,129982047.2
3.84E-05,5.24E-06,6.93E-06,132408968.7
3.84E-05,5.24E-06,7.64E-06,134434809.5
3.84E-05,5.24E-06,8.36E-06,136154646
3.84E-05,5.24E-06,9.07E-06,137635014.2
3.84E-05,5.24E-06,9.78E-06,138923966
4.41E-05,2.40E-06,1.12E-05,133935539.5
4.41E-05,2.40E-06,1.05E-05,132853501.8
4.41E-05,2.40E-06,4.80E-06,115258560.2
4.41E-05,2.40E-06,5.51E-06,118658237
4.41E-05,2.40E-06,6.22E-06,121367676.4
4.41E-05,2.40E-06,6.93E-06,123585162.6
4.41E-05,2.40E-06,7.64E-06,125438263.3
4.41E-05,2.40E-06,8.36E-06,127013007
4.41E-05,2.40E-06,9.07E-06,128369659
4.41E-05,2.40E-06,9.78E-06,129551782.6
4.41E-05,2.76E-06,1.12E-05,137424407
4.41E-05,2.76E-06,1.05E-05,136360275.8
4.41E-05,2.76E-06,4.80E-06,118973937.6
4.41E-05,2.76E-06,5.51E-06,122338800.7
4.41E-05,2.76E-06,6.22E-06,125018836.3
4.41E-05,2.76E-06,6.93E-06,127210912.8
4.41E-05,2.76E-06,7.64E-06,129041658.4
4.41E-05,2.76E-06,8.36E-06,130596451.8
4.41E-05,2.76E-06,9.07E-06,131935092.1
4.41E-05,2.76E-06,9.78E-06,133100798.6
4.41E-05,3.11E-06,1.12E-05,140359511.8
4.41E-05,3.11E-06,1.05E-05,139309922.7
4.41E-05,3.11E-06,4.80E-06,122086429.9
4.41E-05,3.11E-06,5.51E-06,125423908.5
4.41E-05,3.11E-06,6.22E-06,128080722
4.41E-05,3.11E-06,6.93E-06,130252656.2
4.41E-05,3.11E-06,7.64E-06,132065619.8
4.41E-05,3.11E-06,8.36E-06,133604492.2
4.41E-05,3.11E-06,9.07E-06,134928713.9
4.41E-05,3.11E-06,9.78E-06,136081239.4
4.41E-05,3.47E-06,1.12E-05,142881943
4.41E-05,3.47E-06,1.05E-05,141844462.9
4.41E-05,3.47E-06,4.80E-06,124751645.8
4.41E-05,3.47E-06,5.51E-06,128067011.2
4.41E-05,3.47E-06,6.22E-06,130704996.2
4.41E-05,3.47E-06,6.93E-06,132860538.9
4.41E-05,3.47E-06,7.64E-06,134658982.2
4.41E-05,3.47E-06,8.36E-06,136184812.5
4.41E-05,3.47E-06,9.07E-06,137497187.5
4.41E-05,3.47E-06,9.78E-06,138638852.1
4.41E-05,3.82E-06,1.12E-05,145086444.8
4.41E-05,3.82E-06,1.05E-05,144059251.2
4.41E-05,3.82E-06,4.80E-06,127073642.2
4.41E-05,3.82E-06,5.51E-06,130370770.9
4.41E-05,3.82E-06,6.22E-06,132993164.9
4.41E-05,3.82E-06,6.93E-06,135135084.6
4.41E-05,3.82E-06,7.64E-06,136921419.5
4.41E-05,3.82E-06,8.36E-06,138436340
4.41E-05,3.82E-06,9.07E-06,139738776.2
4.41E-05,3.82E-06,9.78E-06,140871304.2
4.41E-05,4.18E-06,1.12E-05,147039376.7
4.41E-05,4.18E-06,1.05E-05,146021064.8
4.41E-05,4.18E-06,4.80E-06,129125026.8
4.41E-05,4.18E-06,5.51E-06,132406853.7
4.41E-05,4.18E-06,6.22E-06,135016112.4
4.41E-05,4.18E-06,6.93E-06,137146512.8
4.41E-05,4.18E-06,7.64E-06,138922575.2
4.41E-05,4.18E-06,8.36E-06,140428211.9
4.41E-05,4.18E-06,9.07E-06,141722166.7
4.41E-05,4.18E-06,9.78E-06,142846877.3
4.41E-05,4.53E-06,1.12E-05,148788836.9
4.41E-05,4.53E-06,1.05E-05,147778298
4.41E-05,4.53E-06,4.80E-06,130958245.7
4.41E-05,4.53E-06,5.51E-06,134227046.7
4.41E-05,4.53E-06,6.22E-06,136825077.9
4.41E-05,4.53E-06,6.93E-06,138945596.6
4.41E-05,4.53E-06,7.64E-06,140712818
4.41E-05,4.53E-06,8.36E-06,142210441
4.41E-05,4.53E-06,9.07E-06,143497054.6
4.41E-05,4.53E-06,9.78E-06,144614981.5
4.41E-05,4.89E-06,1.12E-05,150370690.8
4.41E-05,4.89E-06,1.05E-05,149367032.3
4.41E-05,4.89E-06,4.80E-06,132612283.7
4.41E-05,4.89E-06,5.51E-06,135869859.5
4.41E-05,4.89E-06,6.22E-06,138458175.5
4.41E-05,4.89E-06,6.93E-06,140570112.9
4.41E-05,4.89E-06,7.64E-06,142329632.4
4.41E-05,4.89E-06,8.36E-06,143820253.7
4.41E-05,4.89E-06,9.07E-06,145100436.3
4.41E-05,4.89E-06,9.78E-06,146212406
4.41E-05,5.60E-06,1.12E-05,153135099.1
4.41E-05,5.60E-06,1.05E-05,152143133.2
4.41E-05,5.60E-06,4.80E-06,135494950.4
4.41E-05,5.60E-06,5.51E-06,138734157.7
4.41E-05,5.60E-06,6.22E-06,141306481.1
4.41E-05,5.60E-06,6.93E-06,143404219
4.41E-05,5.60E-06,7.64E-06,145150935.3
4.41E-05,5.60E-06,8.36E-06,146629869.8
4.41E-05,5.60E-06,9.07E-06,147899277.9
4.41E-05,5.60E-06,9.78E-06,149001232.7
4.41E-05,5.24E-06,1.12E-05,151812328.7
4.41E-05,5.24E-06,1.05E-05,150814819.9
4.41E-05,5.24E-06,4.80E-06,134116826.8
4.41E-05,5.24E-06,5.51E-06,137364626.5
4.41E-05,5.24E-06,6.22E-06,139944447.1
4.41E-05,5.24E-06,6.93E-06,142048854
4.41E-05,5.24E-06,7.64E-06,143801593.2
4.41E-05,5.24E-06,8.36E-06,145286033.6
4.41E-05,5.24E-06,9.07E-06,146560524.3
4.41E-05,5.24E-06,9.78E-06,147667209.1
4.98E-05,2.40E-06,1.12E-05,139096486
4.98E-05,2.40E-06,1.05E-05,138121056.1
4.98E-05,2.40E-06,4.80E-06,122477356.7
4.98E-05,2.40E-06,5.51E-06,125552938.4
4.98E-05,2.40E-06,6.22E-06,128000672.7
4.98E-05,2.40E-06,6.93E-06,130000937.8
4.98E-05,2.40E-06,7.64E-06,131669790.8
4.98E-05,2.40E-06,8.36E-06,133085502
4.98E-05,2.40E-06,9.07E-06,134302902.9
4.98E-05,2.40E-06,9.78E-06,135361629.6
4.98E-05,2.76E-06,1.12E-05,142504057.9
4.98E-05,2.76E-06,1.05E-05,141545333.2
4.98E-05,2.76E-06,4.80E-06,126076242.8
4.98E-05,2.76E-06,5.51E-06,129119900.1
4.98E-05,2.76E-06,6.22E-06,131540739
4.98E-05,2.76E-06,6.93E-06,133517809.6
4.98E-05,2.76E-06,7.64E-06,135166290.7
4.98E-05,2.76E-06,8.36E-06,136563846.6
4.98E-05,2.76E-06,9.07E-06,137764875.2
4.98E-05,2.76E-06,9.78E-06,138808693.5
4.98E-05,3.11E-06,1.12E-05,145372462.6
4.98E-05,3.11E-06,1.05E-05,144427275.1
4.98E-05,3.11E-06,4.80E-06,129093629.2
4.98E-05,3.11E-06,5.51E-06,132112279.1
4.98E-05,3.11E-06,6.22E-06,134511957.2
4.98E-05,3.11E-06,6.93E-06,136470704.1
4.98E-05,3.11E-06,7.64E-06,138103029.6
4.98E-05,3.11E-06,8.36E-06,139486135.2
4.98E-05,3.11E-06,9.07E-06,140674087.6
4.98E-05,3.11E-06,9.78E-06,141705959.1
4.98E-05,3.47E-06,1.12E-05,147838906.4
4.98E-05,3.47E-06,1.05E-05,146904964.9
4.98E-05,3.47E-06,4.80E-06,131679237.6
4.98E-05,3.47E-06,5.51E-06,134677792.2
4.98E-05,3.47E-06,6.22E-06,137060389.1
4.98E-05,3.47E-06,6.93E-06,139004283.7
4.98E-05,3.47E-06,7.64E-06,140623463.8
4.98E-05,3.47E-06,8.36E-06,141994769
4.98E-05,3.47E-06,9.07E-06,143172006.6
4.98E-05,3.47E-06,9.78E-06,144194057.1
4.98E-05,3.82E-06,1.12E-05,149995556.4
4.98E-05,3.82E-06,1.05E-05,149071145.1
4.98E-05,3.82E-06,4.80E-06,133933278.3
4.98E-05,3.82E-06,5.51E-06,136915351
4.98E-05,3.82E-06,6.22E-06,139283873.3
4.98E-05,3.82E-06,6.93E-06,141215478.4
4.98E-05,3.82E-06,7.64E-06,142823739.4
4.98E-05,3.82E-06,8.36E-06,144185207.6
4.98E-05,3.82E-06,9.07E-06,145353483.2
4.98E-05,3.82E-06,9.78E-06,146367293.3
4.98E-05,4.18E-06,1.12E-05,151906986.8
4.98E-05,4.18E-06,1.05E-05,150990783.5
4.98E-05,4.18E-06,4.80E-06,135925728.7
4.98E-05,4.18E-06,5.51E-06,138894054
4.98E-05,4.18E-06,6.22E-06,141250781.2
4.98E-05,4.18E-06,6.93E-06,143172043.9
4.98E-05,4.18E-06,7.64E-06,144771080.1
4.98E-05,4.18E-06,8.36E-06,146124208.3
4.98E-05,4.18E-06,9.07E-06,147284860.6
4.98E-05,4.18E-06,9.78E-06,148291639.7
4.98E-05,4.53E-06,1.12E-05,153620014.5
4.98E-05,4.53E-06,1.05E-05,152710976.5
4.98E-05,4.53E-06,4.80E-06,137707168.2
4.98E-05,4.53E-06,5.51E-06,140663864.7
4.98E-05,4.53E-06,6.22E-06,143010566.7
4.98E-05,4.53E-06,6.93E-06,144923001
4.98E-05,4.53E-06,7.64E-06,146514132.8
4.98E-05,4.53E-06,8.36E-06,147860089.6
4.98E-05,4.53E-06,9.07E-06,149014165.6
4.98E-05,4.53E-06,9.78E-06,150014861.2
4.98E-05,4.89E-06,1.12E-05,155169558.6
4.98E-05,4.89E-06,1.05E-05,154266847.6
4.98E-05,4.89E-06,4.80E-06,139315215.5
4.98E-05,4.89E-06,5.51E-06,142261957.3
4.98E-05,4.89E-06,6.22E-06,144600035.2
4.98E-05,4.89E-06,6.93E-06,146504842.6
4.98E-05,4.89E-06,7.64E-06,148089119.5
4.98E-05,4.89E-06,8.36E-06,149428835.4
4.98E-05,4.89E-06,9.07E-06,150577170.3
4.98E-05,4.89E-06,9.78E-06,151572539.5
4.98E-05,5.60E-06,1.12E-05,157879014.6
4.98E-05,5.60E-06,1.05E-05,156987017.2
4.98E-05,5.60E-06,4.80E-06,142119404.2
4.98E-05,5.60E-06,5.51E-06,145050023.6
4.98E-05,5.60E-06,6.22E-06,147374031.9
4.98E-05,5.60E-06,6.93E-06,149266317.5
4.98E-05,5.60E-06,7.64E-06,150839277
4.98E-05,5.60E-06,8.36E-06,152168637.7
4.98E-05,5.60E-06,9.07E-06,153307403.4
4.98E-05,5.60E-06,9.78E-06,154293857.7
4.98E-05,5.24E-06,1.12E-05,156582293.6
4.98E-05,5.24E-06,1.05E-05,155685223.8
4.98E-05,5.24E-06,4.80E-06,140778531.3
4.98E-05,5.24E-06,5.51E-06,143716663.6
4.98E-05,5.24E-06,6.22E-06,146047245.8
4.98E-05,5.24E-06,6.93E-06,147945395.6
4.98E-05,5.24E-06,7.64E-06,149523665.8
4.98E-05,5.24E-06,8.36E-06,150857894.5
4.98E-05,5.24E-06,9.07E-06,152001165.9
4.98E-05,5.24E-06,9.78E-06,152991823.9
5.55E-05,2.40E-06,1.12E-05,141522799.1
5.55E-05,2.40E-06,1.05E-05,140613473.9
5.55E-05,2.40E-06,4.80E-06,126356389
5.55E-05,2.40E-06,5.51E-06,129225466
5.55E-05,2.40E-06,6.22E-06,131506233.6
5.55E-05,2.40E-06,6.93E-06,133367770.3
5.55E-05,2.40E-06,7.64E-06,134918861.9
5.55E-05,2.40E-06,8.36E-06,136232872.5
5.55E-05,2.40E-06,9.07E-06,137361193.6
5.55E-05,2.40E-06,9.78E-06,138340972
5.55E-05,2.76E-06,1.12E-05,144989753.3
5.55E-05,2.76E-06,1.05E-05,144097004.6
5.55E-05,2.76E-06,4.80E-06,129980137.4
5.55E-05,2.76E-06,5.51E-06,132817561.2
5.55E-05,2.76E-06,6.22E-06,135071818.8
5.55E-05,2.76E-06,6.93E-06,136910607.3
5.55E-05,2.76E-06,7.64E-06,138441804.4
5.55E-05,2.76E-06,8.36E-06,139738150.4
5.55E-05,2.76E-06,9.07E-06,140850592.9
5.55E-05,2.76E-06,9.78E-06,141815952.8
5.55E-05,3.11E-06,1.12E-05,147899339.5
5.55E-05,3.11E-06,1.05E-05,147020064.5
5.55E-05,3.11E-06,4.80E-06,133015034.3
5.55E-05,3.11E-06,5.51E-06,135827569
5.55E-05,3.11E-06,6.22E-06,138060887.5
5.55E-05,3.11E-06,6.93E-06,139881632
5.55E-05,3.11E-06,7.64E-06,141396985.2
5.55E-05,3.11E-06,8.36E-06,142679209.2
5.55E-05,3.11E-06,9.07E-06,143778910.7
5.55E-05,3.11E-06,9.78E-06,144732660.5
5.55E-05,3.47E-06,1.12E-05,150396194
5.55E-05,3.47E-06,1.05E-05,149528123.5
5.55E-05,3.47E-06,4.80E-06,135613594.8
