PMOS_W,NMOS_W,Gain
8e-06,1.1e-05,-7.856
8.5e-06,1.1e-05,-7.037
9e-06,1.1e-05,-6.233
9.5e-06,1.1e-05,-5.439
1.05e-05,1.1e-05,-5.023
1e-05,1.1e-05,-4.662
1.1e-05,1.1e-05,-4.304
1.15e-05,1.1e-05,-3.572
1.2e-05,1.1e-05,-2.837
1.25e-05,1.1e-05,-2.097
1e-06,1.1e-05,-28.79
1.3e-05,1.1e-05,-1.347
1.35e-05,1.1e-05,-0.584
1.4e-05,1.1e-05,0.198
1.45e-05,1.1e-05,1.001
1.5e-05,1.1e-05,1.832
1.55e-05,1.1e-05,2.695
1.6e-05,1.1e-05,3.594
1.65e-05,1.1e-05,4.536
1.7e-05,1.1e-05,5.524
1.75e-05,1.1e-05,6.559
1.8e-05,1.1e-05,7.641
1.85e-05,1.1e-05,8.76
1.9e-05,1.1e-05,9.896
1.95e-05,1.1e-05,11.02
2e-05,1.1e-05,12.08
3.5e-06,1.15e-05,-17.56
4e-06,1.15e-05,-16.22
4.5e-06,1.15e-05,-15.01
3e-06,1.15e-05,-19.07
5e-06,1.15e-05,-13.9
2.5e-06,1.15e-05,-20.8
5.5e-06,1.15e-05,-12.87
6e-06,1.15e-05,-11.88
2e-06,1.15e-05,-22.88
6.5e-06,1.15e-05,-10.96
7e-06,1.15e-05,-10.08
7.5e-06,1.15e-05,-9.236
1.5e-06,1.15e-05,-25.53
8e-06,1.15e-05,-8.417
8.5e-06,1.15e-05,-7.62
9e-06,1.15e-05,-6.839
9.5e-06,1.15e-05,-6.071
1.05e-05,1.15e-05,-5.67
1e-05,1.15e-05,-5.312
1.1e-05,1.15e-05,-4.969
1.15e-05,1.15e-05,-4.281
1.2e-05,1.15e-05,-3.579
1.25e-05,1.15e-05,-2.875
1e-06,1.15e-05,-29.17
1.3e-05,1.15e-05,-2.166
1.35e-05,1.15e-05,-1.449
1.4e-05,1.15e-05,-0.72
1.45e-05,1.15e-05,0.0251
1.5e-05,1.15e-05,0.79
1.55e-05,1.15e-05,1.578
1.6e-05,1.15e-05,2.394
1.65e-05,1.15e-05,3.243
1.7e-05,1.15e-05,4.128
1.75e-05,1.15e-05,5.054
1.8e-05,1.15e-05,6.024
1.85e-05,1.15e-05,7.038
1.9e-05,1.15e-05,8.091
1.95e-05,1.15e-05,9.173
2e-05,1.15e-05,10.26
3.5e-06,1.2e-05,-17.97
4e-06,1.2e-05,-16.64
4.5e-06,1.2e-05,-15.44
3e-06,1.2e-05,-19.47
5e-06,1.2e-05,-14.34
2.5e-06,1.2e-05,-21.2
5.5e-06,1.2e-05,-13.32
6e-06,1.2e-05,-12.36
2e-06,1.2e-05,-23.27
6.5e-06,1.2e-05,-11.44
7e-06,1.2e-05,-10.57
7.5e-06,1.2e-05,-9.744
1.5e-06,1.2e-05,-25.9
8e-06,1.2e-05,-8.942
8.5e-06,1.2e-05,-8.164
9e-06,1.2e-05,-7.404
9.5e-06,1.2e-05,-6.658
1.05e-05,1.2e-05,-6.269
1e-05,1.2e-05,-5.923
1.1e-05,1.2e-05,-5.592
1.15e-05,1.2e-05,-4.933
1.2e-05,1.2e-05,-4.259
1.25e-05,1.2e-05,-3.585
1e-06,1.2e-05,-29.54
1.3e-05,1.2e-05,-2.91
1.35e-05,1.2e-05,-2.23
1.4e-05,1.2e-05,-1.543
1.45e-05,1.2e-05,-0.845
1.5e-05,1.2e-05,-0.133
1.55e-05,1.2e-05,0.597
1.6e-05,1.2e-05,1.347
1.65e-05,1.2e-05,2.121
1.7e-05,1.2e-05,2.925
1.75e-05,1.2e-05,3.76
1.8e-05,1.2e-05,4.632
1.85e-05,1.2e-05,5.543
1.9e-05,1.2e-05,6.495
1.95e-05,1.2e-05,7.486
2e-05,1.2e-05,8.511
3.5e-06,1.25e-05,-18.36
4e-06,1.25e-05,-17.04
4.5e-06,1.25e-05,-15.85
3e-06,1.25e-05,-19.85
5e-06,1.25e-05,-14.75
2.5e-06,1.25e-05,-21.57
5.5e-06,1.25e-05,-13.74
6e-06,1.25e-05,-12.8
2e-06,1.25e-05,-23.63
6.5e-06,1.25e-05,-11.89
7e-06,1.25e-05,-11.04
7.5e-06,1.25e-05,-10.22
1.5e-06,1.25e-05,-26.26
8e-06,1.25e-05,-9.437
8.5e-06,1.25e-05,-8.674
9e-06,1.25e-05,-7.932
9.5e-06,1.25e-05,-7.205
1.05e-05,1.25e-05,-6.827
1e-05,1.25e-05,-6.491
1.1e-05,1.25e-05,-6.17
1.15e-05,1.25e-05,-5.52
1.2e-05,1.25e-05,-4.886
1.25e-05,1.25e-05,-4.238
1e-06,1.25e-05,-29.89
1.3e-05,1.25e-05,-3.591
1.35e-05,1.25e-05,-2.942
1.4e-05,1.25e-05,-2.289
1.45e-05,1.25e-05,-1.629
1.5e-05,1.25e-05,-0.959
1.55e-05,1.25e-05,-0.278
1.6e-05,1.25e-05,0.42
1.65e-05,1.25e-05,1.135
1.7e-05,1.25e-05,1.873
1.75e-05,1.25e-05,2.635
1.8e-05,1.25e-05,3.427
1.85e-05,1.25e-05,4.25
1.9e-05,1.25e-05,5.109
1.95e-05,1.25e-05,6.005
2e-05,1.25e-05,6.939
3.5e-06,1.3e-05,-18.73
4e-06,1.3e-05,-17.42
4.5e-06,1.3e-05,-16.23
3e-06,1.3e-05,-20.21
5e-06,1.3e-05,-15.15
2.5e-06,1.3e-05,-21.93
5.5e-06,1.3e-05,-14.15
6e-06,1.3e-05,-13.21
2e-06,1.3e-05,-23.99
6.5e-06,1.3e-05,-12.33
7e-06,1.3e-05,-11.48
7.5e-06,1.3e-05,-10.68
1.5e-06,1.3e-05,-26.61
8e-06,1.3e-05,-9.903
8.5e-06,1.3e-05,-9.155
9e-06,1.3e-05,-8.428
9.5e-06,1.3e-05,-7.718
1.05e-05,1.3e-05,-7.349
1e-05,1.3e-05,-7.022
1.1e-05,1.3e-05,-6.71
1.15e-05,1.3e-05,-6.079
1.2e-05,1.3e-05,-5.454
1.25e-05,1.3e-05,-4.843
1e-06,1.3e-05,-30.23
1.3e-05,1.3e-05,-4.22
1.35e-05,1.3e-05,-3.596
1.4e-05,1.3e-05,-2.972
1.45e-05,1.3e-05,-2.343
1.5e-05,1.3e-05,-1.708
1.55e-05,1.3e-05,-1.065
1.6e-05,1.3e-05,-0.411
1.65e-05,1.3e-05,0.257
1.7e-05,1.3e-05,0.941
1.75e-05,1.3e-05,1.645
1.8e-05,1.3e-05,2.371
1.85e-05,1.3e-05,3.123
1.9e-05,1.3e-05,3.903
1.95e-05,1.3e-05,4.715
2e-05,1.3e-05,5.561
3.5e-06,1.35e-05,-19.09
4e-06,1.35e-05,-17.78
4.5e-06,1.35e-05,-16.61
3e-06,1.35e-05,-20.56
5e-06,1.35e-05,-15.53
2.5e-06,1.35e-05,-22.27
5.5e-06,1.35e-05,-14.54
6e-06,1.35e-05,-13.61
2e-06,1.35e-05,-24.33
6.5e-06,1.35e-05,-12.74
7e-06,1.35e-05,-11.9
7.5e-06,1.35e-05,-11.11
1.5e-06,1.35e-05,-26.94
8e-06,1.35e-05,-10.34
8.5e-06,1.35e-05,-9.61
9e-06,1.35e-05,-8.896
9.5e-06,1.35e-05,-8.201
1.05e-05,1.35e-05,-7.841
1e-05,1.35e-05,-7.521
1.1e-05,1.35e-05,-7.217
1.15e-05,1.35e-05,-6.602
1.2e-05,1.35e-05,-5.994
1.25e-05,1.35e-05,-5.392
1e-06,1.35e-05,-30.56
1.3e-05,1.35e-05,-4.803
1.35e-05,1.35e-05,-4.202
1.4e-05,1.35e-05,-3.601
1.45e-05,1.35e-05,-2.999
1.5e-05,1.35e-05,-2.393
1.55e-05,1.35e-05,-1.782
1.6e-05,1.35e-05,-1.163
1.65e-05,1.35e-05,-0.534
1.7e-05,1.35e-05,0.107
1.75e-05,1.35e-05,0.763
1.8e-05,1.35e-05,1.436
1.85e-05,1.35e-05,2.129
1.9e-05,1.35e-05,2.845
1.95e-05,1.35e-05,3.586
2e-05,1.35e-05,4.356
3.5e-06,1.4e-05,-19.43
4e-06,1.4e-05,-18.13
4.5e-06,1.4e-05,-16.96
3e-06,1.4e-05,-20.9
5e-06,1.4e-05,-15.9
2.5e-06,1.4e-05,-22.6
5.5e-06,1.4e-05,-14.91
6e-06,1.4e-05,-13.99
2e-06,1.4e-05,-24.65
6.5e-06,1.4e-05,-13.13
7e-06,1.4e-05,-12.31
7.5e-06,1.4e-05,-11.52
1.5e-06,1.4e-05,-27.26
8e-06,1.4e-05,-10.76
8.5e-06,1.4e-05,-10.04
9e-06,1.4e-05,-9.34
9.5e-06,1.4e-05,-8.658
1.05e-05,1.4e-05,-8.304
1e-05,1.4e-05,-7.992
1.1e-05,1.4e-05,-7.694
1.15e-05,1.4e-05,-7.093
1.2e-05,1.4e-05,-6.501
1.25e-05,1.4e-05,-5.916
1e-06,1.4e-05,-30.87
1.3e-05,1.4e-05,-5.335
1.35e-05,1.4e-05,-4.766
1.4e-05,1.4e-05,-4.186
1.45e-05,1.4e-05,-3.606
1.5e-05,1.4e-05,-3.024
1.55e-05,1.4e-05,-2.44
1.6e-05,1.4e-05,-1.85
1.65e-05,1.4e-05,-1.254
1.7e-05,1.4e-05,-0.649
1.75e-05,1.4e-05,-0.0323
1.8e-05,1.4e-05,0.598
1.85e-05,1.4e-05,1.243
1.9e-05,1.4e-05,1.906
1.95e-05,1.4e-05,2.589
2e-05,1.4e-05,3.296
3.5e-06,1.45e-05,-19.77
4e-06,1.45e-05,-18.47
4.5e-06,1.45e-05,-17.31
3e-06,1.45e-05,-21.22
5e-06,1.45e-05,-16.25
2.5e-06,1.45e-05,-22.92
5.5e-06,1.45e-05,-15.27
6e-06,1.45e-05,-14.36
2e-06,1.45e-05,-24.96
6.5e-06,1.45e-05,-13.5
7e-06,1.45e-05,-12.69
7.5e-06,1.45e-05,-11.91
1.5e-06,1.45e-05,-27.57
8e-06,1.45e-05,-11.16
8.5e-06,1.45e-05,-10.45
9e-06,1.45e-05,-9.761
9.5e-06,1.45e-05,-9.09
1.05e-05,1.45e-05,-8.743
1e-05,1.45e-05,-8.437
1.1e-05,1.45e-05,-8.145
1.15e-05,1.45e-05,-7.557
1.2e-05,1.45e-05,-6.979
1.25e-05,1.45e-05,-6.408
1e-06,1.45e-05,-31.18
1.3e-05,1.45e-05,-5.842
1.35e-05,1.45e-05,-5.281
1.4e-05,1.45e-05,-4.732
1.45e-05,1.45e-05,-4.171
1.5e-05,1.45e-05,-3.61
1.55e-05,1.45e-05,-3.048
1.6e-05,1.45e-05,-2.483
1.65e-05,1.45e-05,-1.914
1.7e-05,1.45e-05,-1.339
1.75e-05,1.45e-05,-0.755
1.8e-05,1.45e-05,-0.161
1.85e-05,1.45e-05,0.444
1.9e-05,1.45e-05,1.064
1.95e-05,1.45e-05,1.7
2e-05,1.45e-05,2.354
3.5e-06,1.5e-05,-20.09
4e-06,1.5e-05,-18.8
4.5e-06,1.5e-05,-17.64
3e-06,1.5e-05,-21.54
5e-06,1.5e-05,-16.58
2.5e-06,1.5e-05,-23.23
5.5e-06,1.5e-05,-15.61
6e-06,1.5e-05,-14.71
2e-06,1.5e-05,-25.27
6.5e-06,1.5e-05,-13.86
7e-06,1.5e-05,-13.05
7.5e-06,1.5e-05,-12.29
1.5e-06,1.5e-05,-27.87
8e-06,1.5e-05,-11.55
8.5e-06,1.5e-05,-10.84
9e-06,1.5e-05,-10.16
9.5e-06,1.5e-05,-9.501
1.05e-05,1.5e-05,-9.16
1e-05,1.5e-05,-8.859
1.1e-05,1.5e-05,-8.572
1.15e-05,1.5e-05,-7.996
1.2e-05,1.5e-05,-7.43
1.25e-05,1.5e-05,-6.872
1e-06,1.5e-05,-31.47
1.3e-05,1.5e-05,-6.32
1.35e-05,1.5e-05,-5.774
1.4e-05,1.5e-05,-5.243
1.45e-05,1.5e-05,-4.699
1.5e-05,1.5e-05,-4.156
1.55e-05,1.5e-05,-3.614
1.6e-05,1.5e-05,-3.07
1.65e-05,1.5e-05,-2.524
1.7e-05,1.5e-05,-1.974
1.75e-05,1.5e-05,-1.418
1.8e-05,1.5e-05,-0.854
1.85e-05,1.5e-05,-0.282
1.9e-05,1.5e-05,0.302
1.95e-05,1.5e-05,0.898
2e-05,1.5e-05,1.508
3.5e-06,1.55e-05,-20.39
4e-06,1.55e-05,-19.11
4.5e-06,1.55e-05,-17.95
3e-06,1.55e-05,-21.84
5e-06,1.55e-05,-16.91
2.5e-06,1.55e-05,-23.53
5.5e-06,1.55e-05,-15.94
6e-06,1.55e-05,-15.04
2e-06,1.55e-05,-25.56
6.5e-06,1.55e-05,-14.2
7e-06,1.55e-05,-13.4
7.5e-06,1.55e-05,-12.65
1.5e-06,1.55e-05,-28.15
8e-06,1.55e-05,-11.91
8.5e-06,1.55e-05,-11.22
9e-06,1.55e-05,-10.54
9.5e-06,1.55e-05,-9.893
1.05e-05,1.55e-05,-9.557
1e-05,1.55e-05,-9.261
1.1e-05,1.55e-05,-8.979
1.15e-05,1.55e-05,-8.413
1.2e-05,1.55e-05,-7.858
1.25e-05,1.55e-05,-7.311
1e-06,1.55e-05,-31.76
1.3e-05,1.55e-05,-6.772
1.35e-05,1.55e-05,-6.238
1.4e-05,1.55e-05,-5.709
1.45e-05,1.55e-05,-5.195
1.5e-05,1.55e-05,-4.669
1.55e-05,1.55e-05,-4.143
1.6e-05,1.55e-05,-3.618
1.65e-05,1.55e-05,-3.091
1.7e-05,1.55e-05,-2.562
1.75e-05,1.55e-05,-2.029
1.8e-05,1.55e-05,-1.491
1.85e-05,1.55e-05,-0.947
1.9e-05,1.55e-05,-0.394
1.95e-05,1.55e-05,0.169
2e-05,1.55e-05,0.743
3.5e-06,1.6e-05,-20.68
4e-06,1.6e-05,-19.41
4.5e-06,1.6e-05,-18.26
3e-06,1.6e-05,-22.13
5e-06,1.6e-05,-17.22
2.5e-06,1.6e-05,-23.81
5.5e-06,1.6e-05,-16.26
6e-06,1.6e-05,-15.36
2e-06,1.6e-05,-25.84
6.5e-06,1.6e-05,-14.53
7e-06,1.6e-05,-13.74
7.5e-06,1.6e-05,-12.99
1.5e-06,1.6e-05,-28.43
8e-06,1.6e-05,-12.27
8.5e-06,1.6e-05,-11.57
9e-06,1.6e-05,-10.91
9.5e-06,1.6e-05,-10.27
1.05e-05,1.6e-05,-9.936
1e-05,1.6e-05,-9.644
1.1e-05,1.6e-05,-9.367
1.15e-05,1.6e-05,-8.81
1.2e-05,1.6e-05,-8.264
1.25e-05,1.6e-05,-7.728
1e-06,1.6e-05,-32.03
1.3e-05,1.6e-05,-7.2
1.35e-05,1.6e-05,-6.678
1.4e-05,1.6e-05,-6.161
1.45e-05,1.6e-05,-5.649
1.5e-05,1.6e-05,-5.151
1.55e-05,1.6e-05,-4.64
1.6e-05,1.6e-05,-4.131
1.65e-05,1.6e-05,-3.621
1.7e-05,1.6e-05,-3.111
1.75e-05,1.6e-05,-2.598
1.8e-05,1.6e-05,-2.082
1.85e-05,1.6e-05,-1.561
1.9e-05,1.6e-05,-1.034
1.95e-05,1.6e-05,-0.499
2e-05,1.6e-05,0.0447
3.5e-06,1.65e-05,-20.97
4e-06,1.65e-05,-19.7
4.5e-06,1.65e-05,-18.56
3e-06,1.65e-05,-22.41
5e-06,1.65e-05,-17.52
2.5e-06,1.65e-05,-24.09
5.5e-06,1.65e-05,-16.56
6e-06,1.65e-05,-15.67
2e-06,1.65e-05,-26.12
6.5e-06,1.65e-05,-14.84
7e-06,1.65e-05,-14.06
7.5e-06,1.65e-05,-13.32
1.5e-06,1.65e-05,-28.7
8e-06,1.65e-05,-12.61
8.5e-06,1.65e-05,-11.92
9e-06,1.65e-05,-11.26
9.5e-06,1.65e-05,-10.63
1.05e-05,1.65e-05,-10.3
1e-05,1.65e-05,-10.01
1.1e-05,1.65e-05,-9.737
1.15e-05,1.65e-05,-9.189
1.2e-05,1.65e-05,-8.652
1.25e-05,1.65e-05,-8.125
1e-06,1.65e-05,-32.3
1.3e-05,1.65e-05,-7.606
1.35e-05,1.65e-05,-7.095
1.4e-05,1.65e-05,-6.59
1.45e-05,1.65e-05,-6.089
1.5e-05,1.65e-05,-5.592
1.55e-05,1.65e-05,-5.109
1.6e-05,1.65e-05,-4.613
1.65e-05,1.65e-05,-4.119
1.7e-05,1.65e-05,-3.624
1.75e-05,1.65e-05,-3.129
1.8e-05,1.65e-05,-2.631
1.85e-05,1.65e-05,-2.131
1.9e-05,1.65e-05,-1.626
1.95e-05,1.65e-05,-1.115
2e-05,1.65e-05,-0.598
3.5e-06,1.7e-05,-21.24
4e-06,1.7e-05,-19.98
4.5e-06,1.7e-05,-18.84
3e-06,1.7e-05,-22.69
5e-06,1.7e-05,-17.81
2.5e-06,1.7e-05,-24.36
5.5e-06,1.7e-05,-16.86
6e-06,1.7e-05,-15.97
2e-06,1.7e-05,-26.38
6.5e-06,1.7e-05,-15.15
7e-06,1.7e-05,-14.37
7.5e-06,1.7e-05,-13.63
1.5e-06,1.7e-05,-28.97
8e-06,1.7e-05,-12.93
8.5e-06,1.7e-05,-12.26
9e-06,1.7e-05,-11.6
9.5e-06,1.7e-05,-10.97
1.05e-05,1.7e-05,-10.65
1e-05,1.7e-05,-10.36
1.1e-05,1.7e-05,-10.09
1.15e-05,1.7e-05,-9.551
1.2e-05,1.7e-05,-9.022
1.25e-05,1.7e-05,-8.503
1e-06,1.7e-05,-32.55
1.3e-05,1.7e-05,-7.994
1.35e-05,1.7e-05,-7.492
1.4e-05,1.7e-05,-6.997
1.45e-05,1.7e-05,-6.507
1.5e-05,1.7e-05,-6.021
1.55e-05,1.7e-05,-5.539
1.6e-05,1.7e-05,-5.069
1.65e-05,1.7e-05,-4.588
1.7e-05,1.7e-05,-4.108
1.75e-05,1.7e-05,-3.627
1.8e-05,1.7e-05,-3.146
1.85e-05,1.7e-05,-2.663
1.9e-05,1.7e-05,-2.177
1.95e-05,1.7e-05,-1.687
2e-05,1.7e-05,-1.192
3.5e-06,1.75e-05,-21.51
4e-06,1.75e-05,-20.26
4.5e-06,1.75e-05,-19.12
3e-06,1.75e-05,-22.95
5e-06,1.75e-05,-18.09
2.5e-06,1.75e-05,-24.62
5.5e-06,1.75e-05,-17.14
6e-06,1.75e-05,-16.26
2e-06,1.75e-05,-26.64
6.5e-06,1.75e-05,-15.44
7e-06,1.75e-05,-14.67
7.5e-06,1.75e-05,-13.94
1.5e-06,1.75e-05,-29.22
8e-06,1.75e-05,-13.24
8.5e-06,1.75e-05,-12.57
9e-06,1.75e-05,-11.92
9.5e-06,1.75e-05,-11.3
1.05e-05,1.75e-05,-10.98
1e-05,1.75e-05,-10.7
1.1e-05,1.75e-05,-10.43
1.15e-05,1.75e-05,-9.898
1.2e-05,1.75e-05,-9.376
1.25e-05,1.75e-05,-8.865
1e-06,1.75e-05,-32.81
1.3e-05,1.75e-05,-8.364
1.35e-05,1.75e-05,-7.871
1.4e-05,1.75e-05,-7.384
1.45e-05,1.75e-05,-6.904
1.5e-05,1.75e-05,-6.428
1.55e-05,1.75e-05,-5.957
1.6e-05,1.75e-05,-5.488
1.65e-05,1.75e-05,-5.032
1.7e-05,1.75e-05,-4.564
1.75e-05,1.75e-05,-4.097
1.8e-05,1.75e-05,-3.63
1.85e-05,1.75e-05,-3.162
1.9e-05,1.75e-05,-2.693
1.95e-05,1.75e-05,-2.221
2e-05,1.75e-05,-1.745
3.5e-06,1.8e-05,-21.77
4e-06,1.8e-05,-20.51
4.5e-06,1.8e-05,-19.39
3e-06,1.8e-05,-23.21
5e-06,1.8e-05,-18.36
2.5e-06,1.8e-05,-24.88
5.5e-06,1.8e-05,-17.42
6e-06,1.8e-05,-16.54
2e-06,1.8e-05,-26.89
6.5e-06,1.8e-05,-15.73
7e-06,1.8e-05,-14.96
7.5e-06,1.8e-05,-14.23
1.5e-06,1.8e-05,-29.47
8e-06,1.8e-05,-13.54
8.5e-06,1.8e-05,-12.88
9e-06,1.8e-05,-12.24
9.5e-06,1.8e-05,-11.62
1.05e-05,1.8e-05,-11.3
1e-05,1.8e-05,-11.02
1.1e-05,1.8e-05,-10.76
1.15e-05,1.8e-05,-10.23
1.2e-05,1.8e-05,-9.716
1.25e-05,1.8e-05,-9.212
1e-06,1.8e-05,-33.05
1.3e-05,1.8e-05,-8.718
1.35e-05,1.8e-05,-8.233
1.4e-05,1.8e-05,-7.754
1.45e-05,1.8e-05,-7.283
1.5e-05,1.8e-05,-6.816
1.55e-05,1.8e-05,-6.354
1.6e-05,1.8e-05,-5.896
1.65e-05,1.8e-05,-5.453
1.7e-05,1.8e-05,-4.996
1.75e-05,1.8e-05,-4.541
1.8e-05,1.8e-05,-4.087
1.85e-05,1.8e-05,-3.633
1.9e-05,1.8e-05,-3.178
1.95e-05,1.8e-05,-2.721
2e-05,1.8e-05,-2.262
3.5e-06,1.85e-05,-22.03
4e-06,1.85e-05,-20.77
4.5e-06,1.85e-05,-19.65
3e-06,1.85e-05,-23.46
5e-06,1.85e-05,-18.63
2.5e-06,1.85e-05,-25.12
5.5e-06,1.85e-05,-17.69
6e-06,1.85e-05,-16.82
2e-06,1.85e-05,-27.13
6.5e-06,1.85e-05,-16.0
7e-06,1.85e-05,-15.24
7.5e-06,1.85e-05,-14.52
1.5e-06,1.85e-05,-29.71
8e-06,1.85e-05,-13.83
8.5e-06,1.85e-05,-13.17
9e-06,1.85e-05,-12.54
9.5e-06,1.85e-05,-11.92
1.05e-05,1.85e-05,-11.61
1e-05,1.85e-05,-11.34
1.1e-05,1.85e-05,-11.07
1.15e-05,1.85e-05,-10.55
1.2e-05,1.85e-05,-10.04
1.25e-05,1.85e-05,-9.545
1e-06,1.85e-05,-33.29
1.3e-05,1.85e-05,-9.058
1.35e-05,1.85e-05,-8.58
1.4e-05,1.85e-05,-8.109
1.45e-05,1.85e-05,-7.645
1.5e-05,1.85e-05,-7.187
1.55e-05,1.85e-05,-6.733
1.6e-05,1.85e-05,-6.284
1.65e-05,1.85e-05,-5.838
1.7e-05,1.85e-05,-5.407
1.75e-05,1.85e-05,-4.963
1.8e-05,1.85e-05,-4.52
1.85e-05,1.85e-05,-4.078
1.9e-05,1.85e-05,-3.635
1.95e-05,1.85e-05,-3.192
2e-05,1.85e-05,-2.748
3.5e-06,1.9e-05,-22.27
4e-06,1.9e-05,-21.02
4.5e-06,1.9e-05,-19.91
3e-06,1.9e-05,-23.7
5e-06,1.9e-05,-18.88
2.5e-06,1.9e-05,-25.36
5.5e-06,1.9e-05,-17.95
6e-06,1.9e-05,-17.08
2e-06,1.9e-05,-27.37
6.5e-06,1.9e-05,-16.27
7e-06,1.9e-05,-15.51
7.5e-06,1.9e-05,-14.79
1.5e-06,1.9e-05,-29.94
8e-06,1.9e-05,-14.11
8.5e-06,1.9e-05,-13.46
9e-06,1.9e-05,-12.83
9.5e-06,1.9e-05,-12.23
1.05e-05,1.9e-05,-11.91
1e-05,1.9e-05,-11.64
1.1e-05,1.9e-05,-11.38
1.15e-05,1.9e-05,-10.86
1.2e-05,1.9e-05,-10.36
1.25e-05,1.9e-05,-9.866
1e-06,1.9e-05,-33.52
1.3e-05,1.9e-05,-9.385
1.35e-05,1.9e-05,-8.912
1.4e-05,1.9e-05,-8.449
1.45e-05,1.9e-05,-7.992
1.5e-05,1.9e-05,-7.541
1.55e-05,1.9e-05,-7.096
1.6e-05,1.9e-05,-6.655
1.65e-05,1.9e-05,-6.218
1.7e-05,1.9e-05,-5.784
1.75e-05,1.9e-05,-5.363
1.8e-05,1.9e-05,-4.931
1.85e-05,1.9e-05,-4.499
1.9e-05,1.9e-05,-4.069
1.95e-05,1.9e-05,-3.638
2e-05,1.9e-05,-3.206
3.5e-06,1.95e-05,-22.51
4e-06,1.95e-05,-21.26
4.5e-06,1.95e-05,-20.15
3e-06,1.95e-05,-23.94
5e-06,1.95e-05,-19.13
2.5e-06,1.95e-05,-25.6
5.5e-06,1.95e-05,-18.2
6e-06,1.95e-05,-17.34
2e-06,1.95e-05,-27.6
6.5e-06,1.95e-05,-16.53
7e-06,1.95e-05,-15.77
7.5e-06,1.95e-05,-15.06
1.5e-06,1.95e-05,-30.17
8e-06,1.95e-05,-14.38
8.5e-06,1.95e-05,-13.73
9e-06,1.95e-05,-13.11
9.5e-06,1.95e-05,-12.51
1.05e-05,1.95e-05,-12.2
1e-05,1.95e-05,-11.93
1.1e-05,1.95e-05,-11.67
1.15e-05,1.95e-05,-11.16
1.2e-05,1.95e-05,-10.66
1.25e-05,1.95e-05,-10.17
1e-06,1.95e-05,-33.74
1.3e-05,1.95e-05,-9.699
1.35e-05,1.95e-05,-9.233
1.4e-05,1.95e-05,-8.775
1.45e-05,1.95e-05,-8.325
1.5e-05,1.95e-05,-7.881
1.55e-05,1.95e-05,-7.443
1.6e-05,1.95e-05,-7.01
1.65e-05,1.95e-05,-6.581
1.7e-05,1.95e-05,-6.155
1.75e-05,1.95e-05,-5.732
1.8e-05,1.95e-05,-5.322
1.85e-05,1.95e-05,-4.901
1.9e-05,1.95e-05,-4.48
1.95e-05,1.95e-05,-4.06
2e-05,1.95e-05,-3.64
3.5e-06,2e-05,-22.74
4e-06,2e-05,-21.5
4.5e-06,2e-05,-20.38
3e-06,2e-05,-24.16
5e-06,2e-05,-19.37
2.5e-06,2e-05,-25.82
5.5e-06,2e-05,-18.44
6e-06,2e-05,-17.58
2e-06,2e-05,-27.82
6.5e-06,2e-05,-16.78
7e-06,2e-05,-16.03
7.5e-06,2e-05,-15.32
1.5e-06,2e-05,-30.39
8e-06,2e-05,-14.64
8.5e-06,2e-05,-14.0
9e-06,2e-05,-13.38
9.5e-06,2e-05,-12.79
1.05e-05,2e-05,-12.48
1e-05,2e-05,-12.21
1.1e-05,2e-05,-11.95
1.15e-05,2e-05,-11.45
1.2e-05,2e-05,-10.95
1.25e-05,2e-05,-10.47
1e-06,2e-05,-33.96
1.3e-05,2e-05,-10.0
1.35e-05,2e-05,-9.541
1.4e-05,2e-05,-9.089
1.45e-05,2e-05,-8.645
1.5e-05,2e-05,-8.207
1.55e-05,2e-05,-7.776
1.6e-05,2e-05,-7.35
1.65e-05,2e-05,-6.928
1.7e-05,2e-05,-6.51
1.75e-05,2e-05,-6.095
1.8e-05,2e-05,-5.683
1.85e-05,2e-05,-5.283
1.9e-05,2e-05,-4.872
1.95e-05,2e-05,-4.462
2e-05,2e-05,-4.052
